,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2)
01/01/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.11,5.39,0.0,0.0,0.0
01/01/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.29,5.47,0.0,0.0,0.0
01/01/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.69,5.45,0.0,0.0,0.0
01/01/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.79,5.18,0.0,0.0,0.0
01/01/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.55,4.79,0.0,0.0,0.0
01/01/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.48,3.93,0.0,0.0,0.0
01/01/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.78,3.67,0.0,0.0,0.0
01/01/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.95,3.56,0.0,0.0,0.0
01/01/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.99,3.66,0.0,0.0,0.0
01/01/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.99,3.95,12.33,10.27,0.0
01/01/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.99,4.57,56.52,46.9,49.5
01/01/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.28,4.51,126.63,100.38,82.4
01/01/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.77,3.86,256.23,134.33,301.86
01/01/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.62,3.51,257.84,154.85,231.81
01/01/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.4,3.58,186.0,161.38,56.32
01/01/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.09,3.49,131.42,119.62,30.82
01/01/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.09,3.58,100.22,85.51,51.49
01/01/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.95,3.12,50.82,45.05,38.05
01/01/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.81,2.9,5.11,3.6,0.0
01/01/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.42,2.79,0.0,0.0,0.0
01/01/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.48,2.91,0.0,0.0,0.0
01/01/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.17,2.73,0.0,0.0,0.0
01/01/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.01,2.54,0.0,0.0,0.0
01/01/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.9,2.82,0.0,0.0,0.0
01/02/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.82,2.78,0.0,0.0,0.0
01/02/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.69,3.09,0.0,0.0,0.0
01/02/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.52,3.63,0.0,0.0,0.0
01/02/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.07,3.73,0.0,0.0,0.0
01/02/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.14,3.55,0.0,0.0,0.0
01/02/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.59,2.09,0.0,0.0,0.0
01/02/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.09,2.63,0.0,0.0,0.0
01/02/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.22,2.59,0.0,0.0,0.0
01/02/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.44,2.52,0.0,0.0,0.0
01/02/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.24,3.76,29.14,12.57,0.0
01/02/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.49,4.87,164.69,45.94,610.6
01/02/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.77,5.54,306.15,62.61,763.39
01/02/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.11,5.65,394.55,82.93,770.12
01/02/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.2,5.92,456.65,77.3,851.55
01/02/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.72,5.97,409.62,133.91,628.34
01/02/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.32,5.97,296.94,158.33,360.01
01/02/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.43,5.65,212.72,118.6,326.99
01/02/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.88,4.36,115.39,45.99,451.16
01/02/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.33,4.38,9.92,5.15,0.0
01/02/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.93,4.74,0.0,0.0,0.0
01/02/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.82,4.84,0.0,0.0,0.0
01/02/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.22,4.91,0.0,0.0,0.0
01/02/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.2,4.65,0.0,0.0,0.0
01/02/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.44,4.39,0.0,0.0,0.0
01/03/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.99,4.03,0.0,0.0,0.0
01/03/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.09,3.68,0.0,0.0,0.0
01/03/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.08,3.52,0.0,0.0,0.0
01/03/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.33,3.18,0.0,0.0,0.0
01/03/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.96,3.0,0.0,0.0,0.0
01/03/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.15,2.51,0.0,0.0,0.0
01/03/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.41,2.28,0.0,0.0,0.0
01/03/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.55,2.34,0.0,0.0,0.0
01/03/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.42,2.54,0.0,0.0,0.0
01/03/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.75,2.86,21.14,11.42,0.0
01/03/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.89,2.95,85.58,57.74,142.97
01/03/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.15,3.27,155.94,102.78,166.35
01/03/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.62,4.09,189.57,136.01,132.07
01/03/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.56,4.43,173.29,148.09,56.4
01/03/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.64,3.98,147.69,131.58,36.58
01/03/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.66,3.56,121.36,108.64,32.87
01/03/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.59,3.45,64.35,62.49,6.42
01/03/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.88,2.58,29.25,29.2,0.33
01/03/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.99,2.08,3.84,3.88,0.0
01/03/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.0,2.74,0.0,0.0,0.0
01/03/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.02,3.05,0.0,0.0,0.0
01/03/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.07,3.09,0.0,0.0,0.0
01/03/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.1,3.18,0.0,0.0,0.0
01/03/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.7,3.15,0.0,0.0,0.0
01/04/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.64,3.14,0.0,0.0,0.0
01/04/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.41,3.04,0.0,0.0,0.0
01/04/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.64,3.14,0.0,0.0,0.0
01/04/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.74,3.03,0.0,0.0,0.0
01/04/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.31,3.0,0.0,0.0,0.0
01/04/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.29,3.24,0.0,0.0,0.0
01/04/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.02,2.77,0.0,0.0,0.0
01/04/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.6,2.27,0.0,0.0,0.0
01/04/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.45,2.01,0.0,0.0,0.0
01/04/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.39,2.32,25.24,13.92,0.0
01/04/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.56,2.05,137.56,68.03,356.65
01/04/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.2,2.02,259.91,102.35,492.03
01/04/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.73,1.88,350.21,129.88,541.88
01/04/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.72,1.79,290.01,186.54,230.82
01/04/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.75,1.52,207.5,193.36,31.96
01/04/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.76,1.26,196.29,173.07,59.67
01/04/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.7,1.04,142.63,124.84,60.83
01/04/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.47,0.07,61.45,61.26,1.18
01/04/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.55,0.7,6.56,6.38,0.0
01/04/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.1,1.11,0.0,0.0,0.0
01/04/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.08,1.2,0.0,0.0,0.0
01/04/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.31,1.62,0.0,0.0,0.0
01/04/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.05,1.58,0.0,0.0,0.0
01/04/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.36,1.43,0.0,0.0,0.0
01/05/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.44,1.74,0.0,0.0,0.0
01/05/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.02,1.91,0.0,0.0,0.0
01/05/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.3,2.14,0.0,0.0,0.0
01/05/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.52,2.15,0.0,0.0,0.0
01/05/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.76,2.33,0.0,0.0,0.0
01/05/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-4.45,2.17,0.0,0.0,0.0
01/05/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-4.61,2.32,0.0,0.0,0.0
01/05/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-4.64,2.06,0.0,0.0,0.0
01/05/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-5.07,2.14,0.0,0.0,0.0
01/05/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-4.44,2.89,26.13,16.8,0.0
01/05/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.76,2.62,120.13,85.77,175.91
01/05/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.64,2.91,219.8,141.25,244.69
01/05/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.69,3.2,287.39,194.56,227.67
01/05/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.63,3.61,356.81,191.94,366.54
01/05/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.38,3.35,459.27,78.3,857.64
01/05/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.8,2.84,343.06,141.7,514.5
01/05/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.86,2.43,198.71,148.68,169.62
01/05/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.11,1.85,88.85,77.93,67.69
01/05/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.15,2.58,7.74,7.6,0.0
01/05/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.35,3.49,0.0,0.0,0.0
01/05/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.35,4.2,0.0,0.0,0.0
01/05/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.43,3.9,0.0,0.0,0.0
01/05/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.54,3.76,0.0,0.0,0.0
01/05/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.56,3.02,0.0,0.0,0.0
01/06/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.47,2.96,0.0,0.0,0.0
01/06/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.24,3.0,0.0,0.0,0.0
01/06/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.23,3.07,0.0,0.0,0.0
01/06/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.89,3.05,0.0,0.0,0.0
01/06/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.76,3.0,0.0,0.0,0.0
01/06/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.04,2.33,0.0,0.0,0.0
01/06/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.06,2.97,0.0,0.0,0.0
01/06/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.25,2.47,0.0,0.0,0.0
01/06/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.33,2.05,0.0,0.0,0.0
01/06/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.25,2.57,14.32,13.47,0.0
01/06/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.37,2.88,121.77,59.6,317.38
01/06/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.67,2.6,148.22,127.49,64.4
01/06/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.53,1.72,222.13,149.2,178.28
01/06/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.13,0.67,276.95,200.33,169.7
01/06/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.89,0.85,355.82,170.8,414.63
01/06/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.56,1.25,243.38,154.34,226.14
01/06/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.68,1.65,188.68,123.2,220.14
01/06/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.47,1.1,87.8,54.7,201.77
01/06/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.22,1.36,7.65,7.11,0.0
01/06/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.8,1.37,0.0,0.0,0.0
01/06/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.15,1.21,0.0,0.0,0.0
01/06/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.9,1.43,0.0,0.0,0.0
01/06/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.24,2.33,0.0,0.0,0.0
01/06/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.75,2.88,0.0,0.0,0.0
01/07/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.68,3.46,0.0,0.0,0.0
01/07/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.6,3.76,0.0,0.0,0.0
01/07/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.72,4.15,0.0,0.0,0.0
01/07/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.56,4.48,0.0,0.0,0.0
01/07/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.35,4.67,0.0,0.0,0.0
01/07/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.81,4.73,0.0,0.0,0.0
01/07/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.7,5.09,0.0,0.0,0.0
01/07/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.69,5.23,0.0,0.0,0.0
01/07/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.54,5.14,0.0,0.0,0.0
01/07/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.5,4.91,11.37,11.34,0.0
01/07/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.42,6.59,74.11,72.81,6.63
01/07/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.63,6.51,158.09,134.42,73.29
01/07/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.98,6.5,195.89,135.37,147.46
01/07/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.52,6.37,298.19,184.38,251.1
01/07/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.67,6.17,255.42,174.47,180.56
01/07/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.82,5.69,194.24,164.22,75.78
01/07/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.81,4.69,119.42,106.28,43.78
01/07/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.43,3.78,62.52,57.58,29.59
01/07/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.43,3.26,6.58,6.07,0.0
01/07/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.99,1.99,0.0,0.0,0.0
01/07/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.2,0.68,0.0,0.0,0.0
01/07/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.84,1.36,0.0,0.0,0.0
01/07/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.36,1.93,0.0,0.0,0.0
01/07/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.4,2.13,0.0,0.0,0.0
01/08/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.09,1.99,0.0,0.0,0.0
01/08/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.14,1.92,0.0,0.0,0.0
01/08/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.5,2.08,0.0,0.0,0.0
01/08/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.01,1.6,0.0,0.0,0.0
01/08/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.23,1.38,0.0,0.0,0.0
01/08/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.23,2.01,0.0,0.0,0.0
01/08/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.11,2.14,0.0,0.0,0.0
01/08/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.03,2.33,0.0,0.0,0.0
01/08/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.17,2.35,0.0,0.0,0.0
01/08/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.19,2.99,18.64,18.18,0.0
01/08/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.06,3.95,115.65,97.92,89.88
01/08/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.85,4.85,272.56,130.64,438.01
01/08/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.93,5.25,390.2,128.23,635.9
01/08/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.04,4.92,303.37,252.58,111.59
01/08/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.41,4.43,405.16,186.4,485.49
01/08/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.37,4.6,247.34,208.38,97.72
01/08/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.26,4.19,110.45,109.46,3.28
01/08/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.95,3.91,45.56,45.39,0.96
01/08/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.61,4.14,5.42,5.46,0.0
01/08/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.58,5.52,0.0,0.0,0.0
01/08/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.38,5.84,0.0,0.0,0.0
01/08/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.21,6.23,0.0,0.0,0.0
01/08/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.22,6.45,0.0,0.0,0.0
01/08/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.22,6.22,0.0,0.0,0.0
01/09/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.52,6.08,0.0,0.0,0.0
01/09/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.42,6.12,0.0,0.0,0.0
01/09/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.28,5.98,0.0,0.0,0.0
01/09/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.18,6.11,0.0,0.0,0.0
01/09/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.98,7.11,0.0,0.0,0.0
01/09/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.76,8.28,0.0,0.0,0.0
01/09/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.06,8.07,0.0,0.0,0.0
01/09/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.26,6.78,0.0,0.0,0.0
01/09/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.56,6.31,0.0,0.0,0.0
01/09/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.73,7.12,2.78,2.82,0.0
01/09/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.92,6.44,24.06,23.97,0.46
01/09/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.24,5.74,45.13,45.12,0.03
01/09/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.73,5.54,37.5,37.55,0.0
01/09/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,4.26,5.27,44.82,44.86,0.0
01/09/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,5.08,4.64,47.82,47.65,0.38
01/09/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,5.36,5.46,73.58,58.34,38.0
01/09/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,5.06,5.15,51.56,51.43,0.42
01/09/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,4.67,6.33,27.8,27.85,0.0
01/09/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.91,4.82,4.86,4.57,0.0
01/09/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,3.26,4.89,0.0,0.0,0.0
01/09/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.69,6.07,0.0,0.0,0.0
01/09/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.16,6.26,0.0,0.0,0.0
01/09/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.82,6.03,0.0,0.0,0.0
01/09/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.8,5.89,0.0,0.0,0.0
01/10/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.64,6.03,0.0,0.0,0.0
01/10/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.68,7.46,0.0,0.0,0.0
01/10/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.66,8.68,0.0,0.0,0.0
01/10/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.18,8.71,0.0,0.0,0.0
01/10/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.24,7.89,0.0,0.0,0.0
01/10/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.77,7.08,0.0,0.0,0.0
01/10/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.06,6.91,0.0,0.0,0.0
01/10/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.26,7.02,0.0,0.0,0.0
01/10/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.3,6.55,0.0,0.0,0.0
01/10/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.27,6.16,13.41,8.97,0.0
01/10/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.2,6.32,74.51,60.78,68.95
01/10/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.2,6.61,151.76,107.58,135.28
01/10/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.87,6.52,211.62,151.43,144.9
01/10/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.63,6.19,197.73,173.93,51.83
01/10/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.51,5.84,214.15,173.73,88.77
01/10/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.31,5.51,144.69,137.22,18.47
01/10/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.5,5.41,123.25,115.0,26.76
01/10/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.35,4.18,66.67,61.3,30.57
